Korean,English
얻다,obtain
아름답다,beautiful
끝,end
민족,ethnicity
조사,investigation
듯,as if
입,mouth
뭐,what
그대로,as it is
영화,movie
필요,need
하늘,sky
년대,decade
과학,science
듯하다,seem like
자연,nature
구조,structure
결국,eventually
밥,rice
입다,wear
오히려,rather
프로그램,program
이루어지다,be achieved
하루,day
그림,painting
마시다,drink
혼자,alone
나가다,go out
이제,now
교수,professor
사랑,love
전화,phone
끝나다,end
돌아오다,return
아빠,dad
걸리다,get caught
지키다,keep
한번,once
커피,coffee
가슴,chest
길다,long
바라보다,look at
알아보다,recognize
회사,company
맛,taste
대부분,mostly
산업,industry
매우,very
오르다,rise
음식,food
표정,expression
일부,some
요즘,these days
계획,plan
느낌,feeling
얼마,some amount
성격,personality
계속,continue
세기,century
세우다,stand up
아내,wife
가족,family
놓다,put
놀다,play
향하다,head toward
관련,related
형태,form
각,each
도시,city
작업,work
분위기,atmosphere
그러하다,like that
자기,oneself
나이,age
우선,first of all
믿다,believe
바꾸다,change
낳다,give birth
정보,information
좋아하다,like
그리다,draw
만큼,as much as
배우다,learn
역할,role
옆,side
행동,action
어,uh
국내,domestic
비하다,compared to
기관,institution
입장,position
만하다,suitable
아래,under
방식,method
영향,influence
나서다,step forward
흐르다,flow
깊다,deep
내,inside
산,mountain
하지만,but
조건,condition
문,door
꽃,flower
단계,stage
올리다,raise
그동안,meanwhile
교사,teacher
갑자기,suddenly
넘다,cross over
지니다,have
잘하다,do well
마을,village
대표,representative
가능성,possibility
방향,direction
대회,contest
목소리,voice
노래,song
바다,sea
힘들다,difficult
공부,study
움직이다,move
의원,assemblyman
노력,effort
전혀,never
언니,older sister
단체,organization
분,be born
알려지다,factory
가능하다,already
능력,enjoy
주장하다,he
자식,patient
돌리다,change
불,still
주민,no matter
모으다,match
자료,rice
존재,common
학년,interesting
신문,teach
가지다,conversation
이해하다,block
제품,this year
분야,different
선생,throw away
돌아가다,attach
사업,character
행위,always
수준,lose
지난해,freedom
표현,responsibility
기분,change
젊다,similar
동시,severe
옷,competition
순간,love
전쟁,summer
꿈,grow
할머니,meeting
방송,concrete
이야기하다,opportunity
나무,conduct
자다,time
연극,consumer
오늘,dislike
마찬가지,scale
노동,standard
이때,definitely
가치,count
시간,equip
집단,so
현대,accept
살펴보다,price
장관,site
차이,construction
풀다,take out
시절,worker
물건,neighborhood
개인,completely
근데,car
발,convey
작가,exist
효과,months
불교,not really
끌다,child
대로,determine
빨리,one word
시작되다,maintain
둘,ideology
설명하다, 
우주,public
마치,increase
생산,wipe
바라다,word
강하다,okay
경험,tears
음악,various
최고,light
나타내다,no
아프다,avoid
고향,go through
놀라다,move forward
다양하다,hey
울다,knowledge
농민,currently
드러나다,still
은행,owner
지내다,discover
결혼,line
동생,humanity
소설,feature
오후,athlete
질서,form
담다,prepare
모이다,announce
시민,topic
회장,span
빠르다,experience
아기,perspective
아저씨,ear
옛날,basic
이날,meter
제대로,disappear
던지다,how
공간,emotion
이곳,memory
딸,guy
마지막,popularity
벌이다,apartment
병원,sometimes
자세,composition
강조하다,alcohol
경찰,actually
저녁,short
그러면,thank you
기자,there
넓다,starting
시험,hear
잠,busy
주로,previous
훨씬,acknowledge
통일,central
들어서다,bad
건강,regardless
가깝다,order
건물,game
시설,international
외국,group
밑,life
어른,tradition
주변,grow
대신,cup
원인,investigate
팔다,large
차례,poet
열심히,outside
일하다,evaluation
재산,come down
팀,position
부모,reduce
언어,price
요구하다,change
올라가다,empty
첫,Three Kingdoms
감독,guest
그날,want
사실,communication
자주,confirm
당하다,meeting
삼다,none
기간,laughter
담배,machine
일으키다,shape
일단,substance
할아버지,announcer
조직,news
태어나다,live
공장,spread
벌써,winter
즐기다,religion
지,floor
환자,naturally
변하다,turn
그래도,meal
아무리,hug
맞추다,forget
쌀,present
일반,half
재미있다,only
가르치다,stage
대화,energy
막다,practice
올해,try
달리,protection
버리다,wash
붙이다,on the other hand
인물,neighbor
늘,letter
모두,joint
전국,reason
마치다,plan
전,centimeter
다만,clear
도움,analysis
걸다,girl
멀다,pass by
버스,product
오늘날,explanation
농업,great
대다,person involved
식,newly
의견,be connected
무대,TV
사진,spring
주장,type
표현하다,low
인하다,shoulder
이상하다,point out
제일,couple
붙다,long
아마,demand
얘기하다,raise
잇다,lie down
조금,develop
목적,advance
태도,travel
남성,death
주위,pain
대책,emerge
그만,ball
발생하다,as if
재료,suit
결코,May
옮기다,inform
항상,far
잃다,subtract
자유,scheduled
책임,older brother
바뀌다,joyful
비슷하다,limit
심하다,often
경쟁,foundation
사랑하다,April
여름,fight
자라다,conflict
회,feel
구체적,will
기회,special
실시하다,judgment
번째,solve
소비자,continue
싫다,stop
규모,near
기준,so
반드시,heighten
셈,negative
갖추다,circumstance
그러니까,after all
받아들이다,parents
값,export
현장,he
건설,cut
꺼내다,bring
노동자,number
동네,bird
언제나,burn
완전히,thank you
자동차,expense
전하다,plane
존재하다,right
개월,originally
별로,handle
어린이,first
정하다,shape
한마디,play
유지하다,hot
이데올로기,root
공부하다,therefore
대중,day
늘어나다,early
닦다,staff
말씀,take
괜찮다,light
눈물,inside
각종,somewhat
빛,opponent
아니,morning
피하다,skin
거치다,store
나아가다,full
야,just
지식,wall
현재,general
여전히,trade
주인,burden
발견하다,promise
선,line
인류,look at
특징,enough
선수,body
형식,energy
마련하다,committee
발표하다,organize
주제,household
걸치다,background
겪다,kill
관점,simple
귀,opposite
기본,law
미터,fall
사라지다,salt
어떠하다,pollution
감정,bicycle
기억,participate
놈,fault
인기,blue
아파트,so
가끔,neck
구성,announce
술,crime
실제로,shake
짧다,basis
고맙다,logic
그곳,drama
보다,pick
비롯하다,smoke
과연,sense
들리다,in advance
바쁘다,insufficient
이전,we/us
인정하다,proceed
중앙,traffic
나쁘다,law
불구하다,long
시키다,young person
게임,candidate
국제,task
그룹,basis
인생,record
전통,approach
기르다,blow
잔,lead
조사하다,comprehensive
커다랗다,Hangul
시인,autumn
외,develop
평가,tremble
내려오다,finger
위치,means
줄이다,free
가격,active
달라지다,sale
비다,formation
삼국,lean
손님,length
것,thing
있다,exist
되다,become
나,I
없다,not exist
사람,person
우리,we/our
아니다,not be
같다,be like
대하다,deal with
년,year
때문,because of
말하다,say
위하다,for
그러나,however
알다,know
그렇다,be like that
또,also
사회,society
많다,many
좋다,good
더,more
받다,receive
그것,that
집,house
나오다,come out
그리고,and
문제,problem
그런,such
살다,live
생각하다,think
모르다,not know
속,inside
만들다,make
데,place
두,two
앞,front
경우,case
중,middle
어떤,some
잘,well
그녀,she
오다,come
문화,culture
생각,thought
어떻다,how
명,name
통하다,through
그러다,then
소리,sound
다시,again
다른,different
이런,this kind of
여자,woman
정도,degree
뒤,behind
듣다,hear
좀,a little
싶다,want
함께,together
지나다,pass by
많이,a lot
너,you
주다,give
인간,human
이렇다,this way
어머니,mother
의하다,by
시대,era
다음,next
이러하다,like this
누구,who
곳,place
여러,many
세계,world
운동,exercise
퍼센트,percent
학교,school
대통령,president
시작하다,start
바로,right away
어느,which
무엇,what
정부,government
모든,everything
번,time
그거,that
돈,money
국가,country
그런데,but
날,day
여기,here
여성,female
친구,friend
마음,heart
후,after
가다,go
관계,relation
아버지,father
남자,man
몸,body
얼굴,face
들어가다,enter
왜,why
나타나다,appear
지역,region
다르다,different
모습,appearance
물,water
만나다,meet
보이다,show
이것,this
없이,without
이번,this time
길,road
생활,life
뿐,only
사이,between
방법,method
새롭다,new
우리나라,our country
내다,pay
앉다,sit
처음,first
손,hand
그때,then
삶,life
찾다,find
특히,especially
지금,now
이야기,story
교육,education
사다,buy
경제,economy
아직,still
잡다,catch
같이,together
선생님,teacher
예술,art
서다,stand
역사,history
읽다,read
결과,result
내용,content
동안,while
책,book
일어나다,happen
당신,you
넣다,put in
중요하다,important
무슨,what
느끼다,feel
어렵다,difficult
힘,strength
너무,too
나라,country
의미,meaning
밝히다,reveal
이미,already
정치,politics
국민,citizen
생명,life
얘기,talk
학생,student
연구,research
엄마,mom
이름,name
하나,one
내리다,lower
사건,event
및,and
쉽다,easy
짓다,build
또한,also
이유,reason
또는,or
필요하다,necessary
글,text
생기다,happen
사용하다,use
남편,husband
들어오다,enter
밖,outside
세상,world
작다,small
대학,university
작품,work
상황,situation
가운데,middle
보내다,send
즉,that is
따라서,therefore
상태,state
이후,after
당시,at that time
문학,literature
더욱,more
아주,very
높다,high
최근,recently
현실,reality
환경,environment
컴퓨터,computer
먼저,first
다니다,attend
얼마나,how much
자체,itself
열다,open
머리,head
남다,remain
부분,part
기업,enterprise
거기,there
변화,change
아들,son
뜻,meaning
아,ah
기다리다,wait
떨어지다,fall
선거,election
관하다,about
그냥,just
나누다,divide
이용하다,use
거의,almost
곧,soon
중심,center
활동,activity
관심,interest
역시,as expected
이거,this
광고,advertisement
나다,occur
방,room
정신,mind/spirit
땅,land
이루다,achieve
아침,morning
웃다,laugh
현상,phenomenon
두다,put
떠나다,leave
기술,technology
전체,whole